file_name,shape_number,area,volume,compactness,sphericity,diameter,aabbox_volume,rectangularity,eccentricity,a3_1,d1_1,d2_1,d3_1,d4_1,a3_2,d1_2,d2_2,d3_2,d4_2,a3_3,d1_3,d2_3,d3_3,d4_3,a3_4,d1_4,d2_4,d3_4,d4_4,a3_5,d1_5,d2_5,d3_5,d4_5,a3_6,d1_6,d2_6,d3_6,d4_6,a3_7,d1_7,d2_7,d3_7,d4_7,a3_8,d1_8,d2_8,d3_8,d4_8,a3_9,d1_9,d2_9,d3_9,d4_9,a3_10,d1_10,d2_10,d3_10,d4_10,a3_11,d1_11,d2_11,d3_11,d4_11,a3_12,d1_12,d2_12,d3_12,d4_12,a3_13,d1_13,d2_13,d3_13,d4_13,a3_14,d1_14,d2_14,d3_14,d4_14,a3_15,d1_15,d2_15,d3_15,d4_15
m0,0,-0.06049135892171334,-0.012019693619925602,-0.001204339469660388,-0.01535558475249872,-0.010981635855499137,-0.0033818310613441802,-0.03868088882211247,-0.00391350325430204,0.0014013314000000002,0.000376128375,0.0018797068000000001,0.0018492644,0.0042528226,0.0035546972000000004,0.00161108325,0.00327121055,0.006837141400000001,0.019549574400000002,0.005393687800000001,0.00267678035,0.00539627065,0.0111839402,0.0318794076,0.007425824000000001,0.0014606319,0.00737011295,0.0142085148,0.036084338,0.0083504562,0.00209378135,0.00733456175,0.0158091559,0.034269225800000004,0.0088333196,0.00170511535,0.00671516985,0.0148660311,0.028067192600000002,0.0099572614,0.002864844525,0.005881469300000001,0.0130239582,0.020009339,0.010659982,0.0028836509500000003,0.00459912275,0.0097035013,0.0125094288,0.0117284458,0.004344282850000001,0.00321913555,0.005935111400000001,0.007047329400000001,0.0140441358,0.002031093275,0.00201940795,0.0031889537000000003,0.003615857,0.017479658000000002,0.00040120360000000003,0.0010294824500000001,0.0018348812,0.0016019924000000001,0.0217514588,0.000413741225,0.00067196765,0.0009831922,0.0007159876000000001,0.0277266376,0.000651955875,0.00036802995,0.000364716,0.000292142,0.030475877400000004,0.000514042125,0.00017074585,0.0001736254,8.14166e-05,0.021217227,0.000971665,7.3606e-05,3.80127e-05,2.3946e-05
m1,1,-0.06353703824002072,-0.009020701441510213,-0.0012043496309578213,0.029425138664075215,-0.03891075620786249,-0.026614352390369925,-0.01437958209797275,-0.003804483223775277,0.0015102326,0.0011757789500000003,0.00209601825,0.0011342155,0.0022940338000000003,0.0037581162,0.0014403292250000001,0.005788835900000001,0.005626900600000001,0.0127464948,0.0058190186,0.002741034675,0.0072759774000000004,0.0112260623,0.0257085044,0.007399112400000001,0.002513227525,0.008026057500000001,0.015590326299999999,0.0350259216,0.0085107258,0.002880658425,0.0070161032,0.0180447111,0.0379617102,0.009790827600000001,0.00188859495,0.0066921367,0.016510849,0.032604973599999997,0.010370263800000001,0.002123750725,0.0044078473,0.0125534232,0.0236515368,0.0106147776,0.0017930629,0.0026137638,0.0089720145,0.0150668694,0.0115743404,0.0024691358,0.00197234015,0.0055734774,0.008452964,0.013709213400000001,0.00264550265,0.0013854951,0.0029773157,0.0039534968,0.0166063944,0.0023515579000000005,0.00104550555,0.0013160598000000001,0.0016019924000000001,0.020179584200000003,0.00031599060000000003,0.0010324868,0.00036882550000000004,0.0006202034000000001,0.0253945098,0.00024985302500000003,0.0005022232,7.91074e-05,0.000225093,0.0322491164,0.000308641975,0.00010665360000000001,1.9520000000000003e-05,7.183820000000001e-05,0.0225137668,0.00010288065,3.85555e-05,7.190000000000001e-06,1.436e-05
m2,2,-0.0613934743011543,-0.011719402674808442,-0.001204342392720933,-0.012059092405936573,-0.01626280037352161,-0.008916205204605348,-0.03644675798168078,-0.003922028658664061,0.0012903756,0.0008440819500000001,0.0022176935,0.0017085148000000002,0.0044898888,0.0039903016,0.0025986343,0.004783388100000001,0.007766910500000001,0.0198728464,0.0064642064,0.0025132777,0.0055860439000000005,0.013740034500000001,0.031865040000000004,0.007701158800000001,0.001650227625,0.0075398574,0.0165837922,0.0348511152,0.008730582800000001,0.00144157815,0.00766704055,0.0163629079,0.03229128,0.0090079724,0.0020580425,0.0064077271500000005,0.0142937865,0.0274134648,0.009488781200000001,0.0028262519,0.005252563700000001,0.011456193000000002,0.019951868400000003,0.010209994200000001,0.00361342945,0.00399475245,0.0083658667,0.013606159000000001,0.011241472800000001,0.002949544775,0.0027970277000000003,0.0051049971000000005,0.0081799786,0.0134010028,0.0012803490250000002,0.0018226246000000003,0.0023485658,0.0043653692,0.0172721296,0.000692336875,0.0010384954500000001,0.0012482535000000001,0.0019252644,0.021556258800000002,0.001062215475,0.0005042261,0.0006605983000000001,0.00091474,0.027997863,0.0004836874,0.0002528641,0.0002342402,0.00021312000000000002,0.031731322400000005,0.000578528075,0.00010865645000000002,0.00011198320000000002,4.78922e-05,0.0199165776,0.000407814875,2.7038950000000003e-05,1.3355800000000002e-05,1.198e-05
m3,3,-0.04819519015368661,-0.009762753029565327,-0.0012043417950288002,-0.012884946560088746,0.07169709023927162,0.07257140613508349,-0.0414064457885656,-0.003953890671678127,0.000682173,0.000633764825,0.0013284129,0.0015143421000000002,0.004226482,0.0024040438,0.0005663430500000001,0.00223822305,0.0055796417000000004,0.0166808348,0.004049889,0.001429341975,0.00419904665,0.010024040400000002,0.027815759000000002,0.005878606000000001,0.00101132685,0.00518546705,0.0136588724,0.035236647,0.007707323000000001,0.00101132685,0.0054698766000000005,0.0155851894,0.0349157696,0.0089278376,0.00214401295,0.00496615125,0.0151382839,0.0287137366,0.0102551984,0.002265372175,0.0052670846,0.012978754000000002,0.021204248000000002,0.0119195364,0.002278856525,0.0049981974,0.0093706337,0.013893511800000001,0.014483849800000002,0.0023327939499999998,0.0046532006,0.0065001644,0.0084960668,0.0177097888,0.001995685,0.00398023155,0.0045019314999999996,0.0047916092000000006,0.022174735,0.00140237325,0.0032251442,0.0027132818,0.0024257372,0.0253986192,0.0015102481,0.00225324465,0.0015102326,0.0010560218,0.0271636394,0.0016720604,0.00145359315,0.0006780636,0.00041426700000000006,0.025628749800000003,0.0015507011750000002,0.0005472881,0.0002147201,0.0001077574,0.0156160106,0.0031957928750000007,0.00023483815,3.1848400000000005e-05,2.1551400000000002e-05
m4,4,-0.07116754212670752,-0.014420611362264925,-0.0012042655282145332,-0.024723144795373606,-0.02738061759006325,-0.021309366335147458,-0.04559022071035106,-0.0038319020698550617,0.0018307718000000002,0.0012105649250000001,0.00168192195,0.0014732473000000001,0.0025454676000000002,0.0042738556,0.0033932501750000006,0.0038645649499999997,0.0063953727000000005,0.013570239800000002,0.0056649132,0.0019442406499999999,0.00585893685,0.010274718500000002,0.0254498868,0.006653242400000001,0.0023202494500000003,0.0070831997999999995,0.0146204898,0.0314124592,0.007762801,0.0028429934000000004,0.007145289200000001,0.015998191800000002,0.032949796999999996,0.008915509200000001,0.00398019075,0.0067787614,0.0149153448,0.0297410232,0.009850415000000001,0.00230190755,0.005178457000000001,0.0121856251,0.023261215800000002,0.0107072408,0.001366471025,0.0040793743,0.009691172800000002,0.016508423,0.0117921426,0.0017241379250000001,0.00317657425,0.006804265600000001,0.0110582968,0.013446207,0.0006419662500000001,0.0019538135,0.0035814087,0.006592354000000001,0.016230377200000003,0.0007887014,0.00144107515,0.0020064519,0.0037068522,0.0208309362,0.0006144534000000001,0.00095787935,0.0011321608000000002,0.0018270854000000001,0.027630065,0.0007520176,0.00059185225,0.0006051204,0.0009338968,0.031051204,0.000577769625,0.00018927255,0.00025067810000000004,0.0003855318,0.0233603188,0.00054108585,1.90274e-05,6.57516e-05,5.7470600000000005e-05
m5,5,-0.024477382072954648,-0.0050412680476001545,-0.001204342354666405,-0.012114687335668502,-0.0026468075289462502,0.00425909697850117,-0.019479449224446818,-0.0039621834663320565,0.0010314786,0.0005265976500000001,0.0012282687,0.0010417523,0.0029764970000000003,0.0027307472,0.001249553725,0.0037869532,0.0057409386,0.0148465656,0.004243034400000001,0.00239200285,0.0067612361999999995,0.0127311581,0.0276888448,0.0058642228,0.00190110675,0.008181281050000001,0.0186138736,0.0360316568,0.0078860854,0.0030435558750000003,0.0078733376,0.018777225300000002,0.036738065800000004,0.009416865200000001,0.00315958585,0.0069855592,0.016043396100000003,0.030061900600000004,0.0108387442,0.0026062120750000002,0.00563761815,0.0117983069,0.021498784800000004,0.013150324599999999,0.00239200285,0.0038790859,0.0078223884,0.014178470000000002,0.014732473,0.003650481975,0.0025296427,0.0042820745,0.0079165718,0.0170543272,0.001945733675,0.00170495515,0.0020033698,0.0043629746,0.019793293400000002,0.00047304534999999997,0.0008357034,0.0008496343,0.0021216222,0.024120572000000003,0.0005444484,0.00038405305000000005,0.0002311581,0.0010105242000000001,0.0273300732,0.00048197072500000005,0.0001477127,5.5477900000000006e-05,0.00044300240000000004,0.026845155,0.000339164575,5.25757e-05,7.190000000000001e-06,0.0001005736,0.0149626038,0.000294537675,1.2017300000000001e-05,2.0500000000000003e-06,2.3946e-05
m6,6,0.01598855123678201,0.0032293301530561566,-0.0012043408099731917,-0.01405556602550767,0.049194580149490845,0.0602881042030375,-0.020384858140127717,-0.003983956480441185,0.0007746364000000001,0.000487364625,0.0008422128,0.0008054574,0.0021359898,0.002126654,0.000406137175,0.00262427895,0.0042481713,0.0101315836,0.0037478426000000006,0.00137184115,0.00487351785,0.0092031725,0.0209887334,0.005200542400000001,0.002400722025,0.007202371400000001,0.014180775900000001,0.029590163000000003,0.0069511794,0.00304151625,0.00751081555,0.017263910599999998,0.032966559400000005,0.0086196268,0.002400722025,0.006977547650000001,0.0170286431,0.0317572826,0.0106065588,0.0026624548750000003,0.006345137000000001,0.014653365700000002,0.026484357200000003,0.0127763622,0.002572202175,0.004965149800000001,0.0104031396,0.019753116,0.015618065200000001,0.002689530675,0.0037048349500000003,0.0067754993000000005,0.0128327008,0.0192261856,0.00236462095,0.00253114485,0.0036697624999999998,0.0073825744,0.022719240600000003,0.001922382675,0.00157626985,0.0013335251,0.0035943056,0.0263047588,0.001209386275,0.00064142365,0.00035855180000000003,0.0016307276,0.027406098400000002,0.0009566787000000001,0.00017425090000000002,6.164210000000001e-05,0.000591468,0.024560286,0.00030685920000000005,2.503605e-05,1.0273700000000001e-05,0.0001317034,0.0133619626,0.00020758122500000003,6.0086500000000005e-06,4.1100000000000005e-06,2.8735200000000002e-05
m7,7,-0.033681426657901685,0.00035259842579007684,-0.0012043493819356005,0.02435513237515193,-0.008852721256575755,0.0008183771213578898,-0.0011012523833422872,-0.003931056374979153,0.0006287498,0.00038872692500000004,0.0013684706,0.0005290951000000001,0.0016546736,0.001978713,0.0007774538500000001,0.0043287334,0.0038536615000000006,0.009389255400000001,0.0034725076000000003,0.000728862975,0.0074902860000000005,0.0090048903,0.0208235054,0.0055231364,0.001482021375,0.01036142045,0.015517383100000002,0.030964667600000002,0.007382674400000001,0.00109329445,0.00636566655,0.017673830900000003,0.0345924976,0.009920276200000001,0.00153061225,0.005474383100000001,0.0155194378,0.0317405204,0.0122729514,0.00242954325,0.00434726005,0.0129212213,0.026716634200000002,0.0146482288,0.00221088435,0.0030859437500000003,0.009187762,0.0185653908,0.0164399606,0.0027210884250000004,0.0018281325000000003,0.0061046273,0.0118221764,0.0175947234,0.00296404275,0.00144407945,0.0046950768,0.007025778000000001,0.0197295964,0.0029397473250000004,0.00136045905,0.0028314293000000004,0.0040301242000000004,0.022209665400000002,0.00408163265,0.00118120095,0.0013992767,0.0018845560000000001,0.025478754,0.0008989310000000001,0.000911813,0.0005753267,0.0006321764000000001,0.027556094399999998,0.00019436345,0.00042961865000000005,0.0001674612,0.0001245196,0.0151639682,0.00055879495,2.253245e-05,1.9520000000000003e-05,3.35246e-05
m8,8,0.0033901952443400477,0.005321960069586374,-0.0012043457515269532,-0.004534935255940133,0.05746734676450117,0.04791783773343033,-0.013456197719880311,-0.003936164943974626,0.0009472344000000001,0.00025252525,0.0015877864,0.0010314786,0.0032087738,0.002362949,0.00164983165,0.00346148455,0.0050166434000000005,0.013105686,0.0037601710000000005,0.0024579124500000004,0.0056911953,0.009377825300000002,0.0242094802,0.004859456000000001,0.0018013468000000002,0.007330556000000001,0.012924303400000002,0.0324948216,0.006566943400000001,0.0024074074000000004,0.006572965050000001,0.015907783300000002,0.0348942182,0.008549765800000001,0.0022895623000000003,0.00637518025,0.0167348155,0.0325953952,0.010551080800000001,0.0018013468000000002,0.0061478529,0.015003698500000003,0.0264412542,0.014261938,0.0028956229000000003,0.0033933865,0.0104206049,0.0172148322,0.017418016,0.0019696969750000004,0.00423960505,0.0055919701,0.0092862872,0.018554286200000002,0.0010269360250000001,0.00341842255,0.0034211391,0.0040564648,0.019199474,0.0012626262750000002,0.00090280005,0.0021749404,0.0016307276,0.023888386600000002,0.0007407407500000001,0.00040057685000000005,0.0011270239,0.0006106248,0.027371168,0.0027946128000000004,0.00015772715000000003,0.0006842278000000001,0.000165228,0.026656119000000002,0.0009595959500000002,0.0001927776,0.0004294403,4.78922e-05,0.0150530122,0.0006902357,0.00012768385,0.0001541054,3.83138e-05
m9,9,-0.05736108303361773,-0.013116897951398929,-0.0012043129322527049,-0.02278444123320046,0.03090390215068973,0.02265598339876309,-0.044434449126953435,-0.00395685163225558,0.0021800772,0.0002363184,0.0026608316,0.0051697214000000005,0.014269465200000001,0.0042944028,0.001629353225,0.0038295145000000006,0.0097035013,0.031058057200000003,0.0060470946000000005,0.0009079602000000002,0.006511376400000001,0.0145711761,0.0363573234,0.0073765102,0.0023383084500000002,0.00705515945,0.0170728199,0.0354497672,0.0091826252,0.0023383084500000002,0.007909890250000001,0.0169351525,0.030033165400000002,0.0096243938,0.0021641791,0.0058028561,0.013382510100000002,0.021242561800000004,0.0103784828,0.0036691542250000004,0.00463517465,0.009112764,0.013649261800000001,0.010978466400000001,0.003656716425,0.0038625621,0.0063193474000000005,0.0086157972,0.012653078000000002,0.0038805970250000003,0.00275747075,0.0039974932,0.0049089450000000005,0.013481137600000002,0.003047263675,0.00214308605,0.0024502753,0.0025263108,0.016805704,0.00041044775,0.0012187550000000002,0.0010212049,0.00112786,0.021956932600000003,0.00043532337500000007,0.0009103108500000001,0.000200337,0.0004980784,0.026952001399999998,0.00017412935,0.0006754727000000001,3.6985300000000007e-05,0.00019156860000000002,0.0263602368,2.4875625000000005e-05,2.3533900000000002e-05,1.9520000000000003e-05,4.78922e-05,0.0217288568,8.7064675e-05,4.005e-06,7.190000000000001e-06,2.3946e-05
